method,regime,T,p,noise,seed,precision,recall,f1,auc,mse
Ledoit-Wolf,abrupt,160,6,0.3,2,0.28571428571428564,1.0,0.4444444444444445,0.5170454545454547,0.046210472683264274
tv-gVAR,abrupt,160,6,0.3,3,0.5583166833166833,0.5576923076923077,0.541202270381837,0.715034965034965,0.011495441878852939
stationary-gVAR,abrupt,160,6,0.3,3,0.0,0.0,0.0,0.5426136363636366,0.023755699759535672
Ledoit-Wolf,abrupt,160,6,0.3,3,0.33333333333333337,0.75,0.4615384615384616,0.6505681818181818,0.03626594994063202
tv-gVAR,abrupt,160,6,0.3,4,0.47463199193968425,0.6057692307692307,0.5257304317497221,0.7484702797202798,0.015564989959063885
stationary-gVAR,abrupt,160,6,0.3,4,0.4,0.25,0.30769230769230765,0.6846590909090908,0.02497232949845839
Ledoit-Wolf,abrupt,160,6,0.3,4,0.33333333333333337,1.0,0.5,0.5795454545454547,0.04427953236837912
tv-gVAR,abrupt,160,6,0.5,0,0.3685248987999643,0.7788461538461539,0.4985834777139125,0.7559003496503498,0.013025896259952622
stationary-gVAR,abrupt,160,6,0.5,0,0.41666666666666674,0.625,0.5,0.6590909090909092,0.02571954582719619
Ledoit-Wolf,abrupt,160,6,0.5,0,0.2307692307692308,0.75,0.35294117647058826,0.4829545454545455,0.04194882597895125
tv-gVAR,abrupt,160,6,0.5,1,0.3547871633010952,0.8173076923076923,0.492666303869164,0.77381993006993,0.012728736197890198
stationary-gVAR,abrupt,160,6,0.5,1,0.4,0.5,0.4444444444444445,0.6534090909090908,0.02516376400987139
Ledoit-Wolf,abrupt,160,6,0.5,1,0.33333333333333337,0.75,0.4615384615384616,0.7102272727272726,0.04007779639722042
tv-gVAR,abrupt,160,6,0.5,2,0.3683862894270134,0.6538461538461539,0.46898618289922633,0.6853146853146854,0.012551741030537569
stationary-gVAR,abrupt,160,6,0.5,2,0.33333333333333337,0.25,0.28571428571428564,0.41477272727272735,0.026182325575415954
Ledoit-Wolf,abrupt,160,6,0.5,2,0.28571428571428564,1.0,0.4444444444444445,0.5142045454545453,0.04623849044672935
tv-gVAR,abrupt,160,6,0.5,3,0.38427136588901295,0.6442307692307693,0.4796342559042787,0.6903409090909091,0.013497288444054529
stationary-gVAR,abrupt,160,6,0.5,3,0.2,0.125,0.15384615384615383,0.6051136363636364,0.023872050346256432
Ledoit-Wolf,abrupt,160,6,0.5,3,0.33333333333333337,0.75,0.4615384615384616,0.6534090909090909,0.03628452126427765
tv-gVAR,abrupt,160,6,0.5,4,0.3686492815749781,0.7788461538461539,0.49970080705866654,0.7344842657342657,0.017773227444215774
stationary-gVAR,abrupt,160,6,0.5,4,0.5,0.625,0.5555555555555555,0.6704545454545456,0.028492437862686057
Ledoit-Wolf,abrupt,160,6,0.5,4,0.33333333333333337,1.0,0.5,0.5738636363636365,0.0443040685264556
tv-gVAR,abrupt,160,10,0.3,0,0.27969830607477464,0.5961538461538461,0.3766491600889111,0.7343030900723208,0.006297581563773422
stationary-gVAR,abrupt,160,10,0.3,0,0.4,0.16666666666666669,0.23529411764705885,0.613247863247863,0.008497319156131288
Ledoit-Wolf,abrupt,160,10,0.3,0,0.1571428571428571,0.9166666666666665,0.26829268292682934,0.6362179487179488,0.018775580518422513
tv-gVAR,abrupt,160,10,0.3,1,0.2775242149155192,0.5641025641025641,0.37133306545071254,0.7213182117028272,0.007617610319226467
stationary-gVAR,abrupt,160,10,0.3,1,0.4285714285714286,0.25,0.31578947368421056,0.763888888888889,0.0083695534551263
Ledoit-Wolf,abrupt,160,10,0.3,1,0.17857142857142858,0.8333333333333335,0.2941176470588235,0.7574786324786323,0.020957803521160424
tv-gVAR,abrupt,160,10,0.3,2,0.2456522254688485,0.41025641025641024,0.30219206710573965,0.6254520052596976,0.005793010411949218
stationary-gVAR,abrupt,160,10,0.3,2,0.4,0.16666666666666669,0.23529411764705885,0.6068376068376067,0.008840339475754973
Ledoit-Wolf,abrupt,160,10,0.3,2,0.16176470588235298,0.9166666666666665,0.27499999999999997,0.5897435897435895,0.02092667328396807
tv-gVAR,abrupt,160,10,0.3,3,0.3155668565151324,0.5512820512820513,0.39161984010768575,0.7326183431952662,0.005614989666652258
stationary-gVAR,abrupt,160,10,0.3,3,0.33333333333333337,0.08333333333333334,0.13333333333333333,0.6292735042735043,0.008218097021939373
Ledoit-Wolf,abrupt,160,10,0.3,3,0.18333333333333332,0.9166666666666665,0.3055555555555555,0.7264957264957266,0.01892178158257279
tv-gVAR,abrupt,160,10,0.3,4,0.3236204584888795,0.5769230769230769,0.4096682676379071,0.7473701512163051,0.0066690904337357165
stationary-gVAR,abrupt,160,10,0.3,4,0.75,0.25,0.375,0.7243589743589743,0.008137740268332532
Ledoit-Wolf,abrupt,160,10,0.3,4,0.16666666666666669,1.0,0.28571428571428564,0.7243589743589743,0.017973898407275302
tv-gVAR,abrupt,160,10,0.5,0,0.1887787882278668,0.7051282051282051,0.29694738210972876,0.7211538461538461,0.012080293498630724
stationary-gVAR,abrupt,160,10,0.5,0,0.11111111111111112,0.25,0.15384615384615383,0.5464743589743591,0.0115157897138229
Ledoit-Wolf,abrupt,160,10,0.5,0,0.1571428571428571,0.9166666666666665,0.26829268292682934,0.6324786324786323,0.018786910503523557
tv-gVAR,abrupt,160,10,0.5,1,0.19599062446364945,0.7564102564102565,0.3109298711936472,0.7136341222879685,0.01250897099923115
stationary-gVAR,abrupt,160,10,0.5,1,0.28571428571428564,0.6666666666666667,0.4,0.7094017094017094,0.010397187272502278
Ledoit-Wolf,abrupt,160,10,0.5,1,0.17857142857142858,0.8333333333333335,0.2941176470588235,0.7580128205128205,0.02097377538627847
tv-gVAR,abrupt,160,10,0.5,2,0.16086560592651455,0.5576923076923077,0.24873387070059202,0.6043721236028928,0.01044730188188618
stationary-gVAR,abrupt,160,10,0.5,2,0.2380952380952381,0.41666666666666674,0.3030303030303031,0.6324786324786323,0.010629753475295177
Ledoit-Wolf,abrupt,160,10,0.5,2,0.16176470588235298,0.9166666666666665,0.27499999999999997,0.5908119658119658,0.02094200894236286
tv-gVAR,abrupt,160,10,0.5,3,0.19060857513468976,0.6987179487179487,0.29867385926861,0.7006492439184746,0.010611652649186768
stationary-gVAR,abrupt,160,10,0.5,3,0.22727272727272724,0.41666666666666674,0.2941176470588235,0.6549145299145298,0.009475334035597987
Ledoit-Wolf,abrupt,160,10,0.5,3,0.18333333333333332,0.9166666666666665,0.3055555555555555,0.7248931623931626,0.018934943911290653
tv-gVAR,abrupt,160,10,0.5,4,0.22145432253361555,0.7628205128205129,0.34196514103959724,0.7557117028270874,0.011431636818075332
stationary-gVAR,abrupt,160,10,0.5,4,0.3684210526315789,0.5833333333333333,0.4516129032258064,0.778846153846154,0.009379822049346022
Ledoit-Wolf,abrupt,160,10,0.5,4,0.16666666666666669,1.0,0.28571428571428564,0.7254273504273503,0.017985320305356198
tv-gVAR,abrupt,320,6,0.3,0,0.6906759906759906,0.6538461538461539,0.6649587770330805,0.8326048951048951,0.009360972638884416
stationary-gVAR,abrupt,320,6,0.3,0,1.0,0.25,0.4,0.6392045454545453,0.023250983073215603
Ledoit-Wolf,abrupt,320,6,0.3,0,0.2,0.5,0.28571428571428564,0.39488636363636365,0.039358105292745534
tv-gVAR,abrupt,320,6,0.3,1,0.59374471682164,0.625,0.5895052659758542,0.7742569930069929,0.009174791052178043
stationary-gVAR,abrupt,320,6,0.3,1,1.0,0.125,0.22222222222222224,0.6590909090909091,0.023429560182112154
Ledoit-Wolf,abrupt,320,6,0.3,1,0.29999999999999993,0.75,0.4285714285714286,0.5568181818181818,0.0422975862165107
tv-gVAR,abrupt,320,6,0.3,2,0.6804417804417805,0.6538461538461539,0.6550594492961722,0.7860576923076923,0.010506160022474701
stationary-gVAR,abrupt,320,6,0.3,2,1.0,0.125,0.22222222222222224,0.625,0.023520338876576917
Ledoit-Wolf,abrupt,320,6,0.3,2,0.30769230769230765,1.0,0.4705882352941177,0.4943181818181818,0.040971658986195196
tv-gVAR,abrupt,320,6,0.3,3,0.695161249007403,0.6634615384615384,0.6350968007180149,0.8395979020979021,0.008696383286818713
stationary-gVAR,abrupt,320,6,0.3,3,1.0,0.25,0.4,0.6590909090909091,0.02310141261567037
Ledoit-Wolf,abrupt,320,6,0.3,3,0.2,0.5,0.28571428571428564,0.5738636363636365,0.041628387921700934
tv-gVAR,abrupt,320,6,0.3,4,0.7372100122100123,0.5769230769230769,0.6238550916152725,0.7958916083916084,0.007665304450418849
stationary-gVAR,abrupt,320,6,0.3,4,1.0,0.125,0.22222222222222224,0.5909090909090908,0.023444137976841507
Ledoit-Wolf,abrupt,320,6,0.3,4,0.29999999999999993,0.75,0.4285714285714286,0.4829545454545453,0.04528303138260369
tv-gVAR,abrupt,320,6,0.5,0,0.45575597102746424,0.7884615384615384,0.576117216117216,0.8253933566433566,0.009264632347746634
stationary-gVAR,abrupt,320,6,0.5,0,0.5714285714285713,0.5,0.5333333333333333,0.75,0.024112822517517826
Ledoit-Wolf,abrupt,320,6,0.5,0,0.2,0.5,0.28571428571428564,0.3835227272727272,0.039377472977791324
tv-gVAR,abrupt,320,6,0.5,1,0.3628920456379375,0.7403846153846154,0.48134732355468146,0.7528409090909093,0.010580498468822176
stationary-gVAR,abrupt,320,6,0.5,1,0.4285714285714286,0.375,0.4,0.5454545454545453,0.024674803500384732
Ledoit-Wolf,abrupt,320,6,0.5,1,0.29999999999999993,0.75,0.4285714285714286,0.5568181818181818,0.04231643137753726
tv-gVAR,abrupt,320,6,0.5,2,0.40608835608835603,0.7307692307692307,0.5171392640457703,0.7969842657342657,0.010404561630904773
stationary-gVAR,abrupt,320,6,0.5,2,0.4285714285714286,0.375,0.4,0.6704545454545453,0.02378797049276712
Ledoit-Wolf,abrupt,320,6,0.5,2,0.30769230769230765,1.0,0.4705882352941177,0.4829545454545453,0.04099192749018329
tv-gVAR,abrupt,320,6,0.5,3,0.44263260429648377,0.7788461538461539,0.5551799295813111,0.8371940559440557,0.00939842712346821
stationary-gVAR,abrupt,320,6,0.5,3,0.5,0.375,0.4285714285714286,0.5965909090909091,0.02352071369102764
Ledoit-Wolf,abrupt,320,6,0.5,3,0.2,0.5,0.28571428571428564,0.5795454545454544,0.04164871481496534
tv-gVAR,abrupt,320,6,0.5,4,0.4477075840198012,0.7115384615384616,0.5453789210445558,0.7729458041958043,0.007806898812209644
stationary-gVAR,abrupt,320,6,0.5,4,0.5999999999999999,0.375,0.4615384615384616,0.6818181818181818,0.023945710423272138
Ledoit-Wolf,abrupt,320,6,0.5,4,0.29999999999999993,0.75,0.4285714285714286,0.4772727272727273,0.04531031199825302
tv-gVAR,abrupt,320,10,0.3,0,0.5091518586993701,0.5128205128205128,0.507115944448432,0.7652038132807364,0.0037473047173193076
stationary-gVAR,abrupt,320,10,0.3,0,1.0,0.16666666666666669,0.28571428571428564,0.6549145299145298,0.00817636157321086
Ledoit-Wolf,abrupt,320,10,0.3,0,0.15384615384615383,0.6666666666666667,0.25,0.6549145299145299,0.017158068560055192
tv-gVAR,abrupt,320,10,0.3,1,0.46490927373280316,0.5448717948717949,0.4945661726886499,0.7762573964497043,0.004081489679217585
stationary-gVAR,abrupt,320,10,0.3,1,0.25,0.08333333333333334,0.125,0.6901709401709403,0.008294755938021757
Ledoit-Wolf,abrupt,320,10,0.3,1,0.16666666666666669,0.8333333333333335,0.27777777777777773,0.7692307692307693,0.0180865347823962
tv-gVAR,abrupt,320,10,0.3,2,0.3862933666599396,0.5,0.43147299809830825,0.7374671268902039,0.004259358736708994
stationary-gVAR,abrupt,320,10,0.3,2,0.5,0.16666666666666669,0.25,0.6271367521367521,0.008215761657131474
Ledoit-Wolf,abrupt,320,10,0.3,2,0.1935483870967742,1.0,0.3243243243243244,0.766559829059829,0.018074858216634574
tv-gVAR,abrupt,320,10,0.3,3,0.4505465321373871,0.46794871794871784,0.4525729499337856,0.7307281393819854,0.0034826077772016047
stationary-gVAR,abrupt,320,10,0.3,3,1.0,0.08333333333333334,0.15384615384615383,0.577991452991453,0.00819854290543674
Ledoit-Wolf,abrupt,320,10,0.3,3,0.15151515151515155,0.8333333333333335,0.2564102564102564,0.6335470085470085,0.017341169603299587
tv-gVAR,abrupt,320,10,0.3,4,0.48658754221090483,0.6217948717948717,0.5404790259267495,0.8138149243918474,0.0031948452061864173
stationary-gVAR,abrupt,320,10,0.3,4,1.0,0.25,0.4,0.7467948717948719,0.007928391965751987
Ledoit-Wolf,abrupt,320,10,0.3,4,0.16129032258064518,0.8333333333333335,0.27027027027027023,0.6410256410256409,0.01918457296748237
tv-gVAR,abrupt,320,10,0.5,0,0.24116156862541735,0.6346153846153846,0.34831003156481966,0.7247287968441815,0.005696025547423822
stationary-gVAR,abrupt,320,10,0.5,0,0.5714285714285713,0.33333333333333337,0.4210526315789474,0.6191239316239318,0.008523221279777934
Ledoit-Wolf,abrupt,320,10,0.5,0,0.15384615384615383,0.6666666666666667,0.25,0.6522435897435895,0.017167157496308576
tv-gVAR,abrupt,320,10,0.5,1,0.2578147104880133,0.6987179487179488,0.37443513078120405,0.7735042735042735,0.005590302507254387
stationary-gVAR,abrupt,320,10,0.5,1,0.4705882352941177,0.6666666666666667,0.5517241379310346,0.8044871794871795,0.00865807760434413
Ledoit-Wolf,abrupt,320,10,0.5,1,0.16666666666666669,0.8333333333333335,0.27777777777777773,0.767094017094017,0.01809653707854527
tv-gVAR,abrupt,320,10,0.5,2,0.2214153798993998,0.6346153846153846,0.3266069294953668,0.716387245233399,0.006626254208311946
stationary-gVAR,abrupt,320,10,0.5,2,0.22222222222222224,0.33333333333333337,0.26666666666666666,0.5539529914529915,0.009004538953251569
Ledoit-Wolf,abrupt,320,10,0.5,2,0.1935483870967742,1.0,0.3243243243243244,0.7697649572649573,0.018084538074710915
tv-gVAR,abrupt,320,10,0.5,3,0.23169337651534444,0.6410256410256411,0.33921315684938225,0.7211538461538461,0.005550970289687241
stationary-gVAR,abrupt,320,10,0.5,3,0.28571428571428564,0.16666666666666669,0.2105263157894737,0.5325854700854702,0.008644390415911639
Ledoit-Wolf,abrupt,320,10,0.5,3,0.15151515151515155,0.8333333333333335,0.2564102564102564,0.6346153846153847,0.017351038989844105
tv-gVAR,abrupt,320,10,0.5,4,0.26271210760399205,0.7692307692307693,0.39070620614605756,0.8101166995397764,0.005313758693189405
stationary-gVAR,abrupt,320,10,0.5,4,0.7000000000000001,0.5833333333333333,0.6363636363636365,0.7585470085470085,0.008042145696629532
Ledoit-Wolf,abrupt,320,10,0.5,4,0.16129032258064518,0.8333333333333335,0.27027027027027023,0.6399572649572649,0.01919539573637383
tv-gVAR,periodic,80,6,0.3,0,0.4120902601671833,0.5828754578754578,0.47547871991606,0.6956882187860448,0.012078111684751156
stationary-gVAR,periodic,80,6,0.3,0,0.6363636363636365,0.2424242424242424,0.35078053259871445,0.6566230486685033,0.01509859787914093
Ledoit-Wolf,periodic,80,6,0.3,0,0.16666666666666669,0.38636363636363635,0.23251748251748253,0.38837235996326913,0.021053445010382126
tv-gVAR,periodic,80,6,0.3,1,0.37020285521416746,0.6510989010989012,0.46773331931226664,0.6774041176215089,0.012883728727015351
stationary-gVAR,periodic,80,6,0.3,1,0.8,0.5151515151515151,0.6255562619198982,0.7409320477502295,0.014889832210895798
Ledoit-Wolf,periodic,80,6,0.3,1,0.32323232323232326,0.7424242424242423,0.4498834498834499,0.7152203856749312,0.027193373536407325
tv-gVAR,periodic,80,6,0.3,2,0.24907314907314906,0.3598901098901099,0.28992643127064366,0.5330552599574339,0.015661014664375958
stationary-gVAR,periodic,80,6,0.3,2,1.0,0.12878787878787878,0.227994227994228,0.6062327823691462,0.017275283322837353
Ledoit-Wolf,periodic,80,6,0.3,2,0.2424242424242424,0.7424242424242423,0.36515151515151517,0.6025596877869603,0.03291373286685483
tv-gVAR,periodic,80,6,0.3,3,0.35163810548425933,0.5966117216117216,0.44077655753857126,0.6513966106357411,0.014788797298692584
stationary-gVAR,periodic,80,6,0.3,3,0.7818181818181817,0.5,0.6090273363000634,0.7376320018365473,0.016737622402745133
Ledoit-Wolf,periodic,80,6,0.3,3,0.32575757575757575,1.0,0.49090909090909096,0.6753902662993572,0.03460749352731419
tv-gVAR,periodic,80,6,0.3,4,0.413517976625264,0.636904761904762,0.48857887898135577,0.6868472710864015,0.017375670169574694
stationary-gVAR,periodic,80,6,0.3,4,0.38181818181818183,0.2424242424242424,0.2962492053401144,0.46080119375573914,0.017647222464515434
Ledoit-Wolf,periodic,80,6,0.3,4,0.2644628099173553,0.7424242424242423,0.3896103896103896,0.5358987603305786,0.030899866544084286
tv-gVAR,periodic,80,6,0.5,0,0.3319181721271504,0.7202380952380951,0.4530139017429988,0.6780913832544267,0.01930624189499708
stationary-gVAR,periodic,80,6,0.5,0,0.32323232323232326,0.37121212121212116,0.3450980392156863,0.6354453627180902,0.017345501419420945
Ledoit-Wolf,periodic,80,6,0.5,0,0.16666666666666669,0.38636363636363635,0.23251748251748253,0.38837235996326913,0.021061871331600455
tv-gVAR,periodic,80,6,0.5,1,0.2837587906776223,0.7614468864468864,0.41126272058346347,0.6649500861457383,0.022457562753120504
stationary-gVAR,periodic,80,6,0.5,1,0.37762237762237766,0.6287878787878788,0.47117794486215536,0.6761076675849402,0.018612581035982803
Ledoit-Wolf,periodic,80,6,0.5,1,0.32323232323232326,0.7424242424242423,0.4498834498834499,0.7036271808999083,0.027207155854379307
tv-gVAR,periodic,80,6,0.5,2,0.24734474761564543,0.5787545787545787,0.34495969409012883,0.5185122848166327,0.024849312093273734
stationary-gVAR,periodic,80,6,0.5,2,0.4285714285714286,0.38636363636363635,0.4055944055944056,0.618457300275482,0.020830410805143782
Ledoit-Wolf,periodic,80,6,0.5,2,0.2424242424242424,0.7424242424242423,0.36515151515151517,0.6141528925619834,0.03293476103760196
tv-gVAR,periodic,80,6,0.5,3,0.28295724743093165,0.7696886446886446,0.4125389025455339,0.655111645600776,0.02493991444334271
stationary-gVAR,periodic,80,6,0.5,3,0.44755244755244755,0.7424242424242423,0.5577580314422419,0.7192378328741966,0.021620006125511862
Ledoit-Wolf,periodic,80,6,0.5,3,0.32575757575757575,1.0,0.49090909090909096,0.6811868686868686,0.034633400015390725
tv-gVAR,periodic,80,6,0.5,4,0.3314501245228799,0.8145604395604397,0.4696398046398046,0.6759771026075375,0.029100253841855255
stationary-gVAR,periodic,80,6,0.5,4,0.1735537190082645,0.2424242424242424,0.20208274697438783,0.43382690541781455,0.022185020573355852
Ledoit-Wolf,periodic,80,6,0.5,4,0.2644628099173553,0.7424242424242423,0.3896103896103896,0.538797061524334,0.03091870457576158
tv-gVAR,periodic,80,10,0.3,0,0.19846657510791693,0.5463869463869464,0.28997228732395813,0.6606197091883558,0.012231723177081984
stationary-gVAR,periodic,80,10,0.3,0,0.09090909090909091,0.08484848484848485,0.08770939205721812,0.534494463869464,0.006323673980214564
Ledoit-Wolf,periodic,80,10,0.3,0,0.11111111111111112,0.6787878787878788,0.19089853236194695,0.4385581779331779,0.021047947546146528
tv-gVAR,periodic,80,10,0.3,1,0.17338356775363925,0.5420745920745922,0.26201565875512534,0.6116261635151606,0.013450380551504302
stationary-gVAR,periodic,80,10,0.3,1,0.29999999999999993,0.2545454545454545,0.27520661157024784,0.5708479020979021,0.007229751249575253
Ledoit-Wolf,periodic,80,10,0.3,1,0.15835777126099707,0.8303030303030302,0.2659022659022659,0.6973314879564878,0.019815775343655317
tv-gVAR,periodic,80,10,0.3,2,0.1664563322734237,0.4093240093240093,0.23523788671686957,0.5648909030761514,0.013026189335998636
stationary-gVAR,periodic,80,10,0.3,2,0.125,0.08484848484848485,0.10101010101010101,0.524285644910645,0.006051163795712435
Ledoit-Wolf,periodic,80,10,0.3,2,0.1846590909090909,1.0,0.3116513642829432,0.746942501942502,0.01557670338661426
tv-gVAR,periodic,80,10,0.3,3,0.18139731424960626,0.498951048951049,0.26463930066181474,0.5949617864284368,0.012073124732908318
stationary-gVAR,periodic,80,10,0.3,3,0.25,0.2545454545454545,0.25206611570247933,0.5650825563325562,0.006117825307737909
Ledoit-Wolf,periodic,80,10,0.3,3,0.17448680351906162,0.9151515151515149,0.29299754299754305,0.6912038655788656,0.017205915853166394
tv-gVAR,periodic,80,10,0.3,4,0.1925208386235973,0.5835664335664336,0.2887478130940448,0.6398187434792839,0.012479353231768088
stationary-gVAR,periodic,80,10,0.3,4,0.30769230769230765,0.3393939393939394,0.3225296442687747,0.6653724747474749,0.006457495449731879
Ledoit-Wolf,periodic,80,10,0.3,4,0.1846590909090909,1.0,0.3116513642829432,0.6449203574203574,0.016225123555345836
tv-gVAR,periodic,80,10,0.5,0,0.15683111829739715,0.7303030303030303,0.25799178036881043,0.6540505808969782,0.024678815856817117
stationary-gVAR,periodic,80,10,0.5,0,0.12918660287081338,0.4151515151515151,0.196969696969697,0.47069298756798755,0.013035119771356152
Ledoit-Wolf,periodic,80,10,0.5,0,0.11111111111111112,0.6787878787878788,0.19089853236194695,0.4353035159285159,0.02107147556458581
tv-gVAR,periodic,80,10,0.5,1,0.14280012610329262,0.687995337995338,0.23621562973773905,0.5841656027354665,0.02612537452508571
stationary-gVAR,periodic,80,10,0.5,1,0.1935483870967742,0.509090909090909,0.2803073273861703,0.5546411227661227,0.011475794461575787
Ledoit-Wolf,periodic,80,10,0.5,1,0.15835777126099707,0.8303030303030302,0.2659022659022659,0.6984163752913752,0.01983552387387063
tv-gVAR,periodic,80,10,0.5,2,0.13599848753485755,0.6540792540792542,0.22477463590903418,0.5464542208846006,0.02687230666920381
stationary-gVAR,periodic,80,10,0.5,2,0.11111111111111112,0.2545454545454545,0.1546021546021546,0.4211742424242424,0.010651753376953359
Ledoit-Wolf,periodic,80,10,0.5,2,0.1846590909090909,1.0,0.3116513642829432,0.746942501942502,0.015591700641387868
tv-gVAR,periodic,80,10,0.5,3,0.15018289665814233,0.7072261072261072,0.24758480537130045,0.5607967960444834,0.025287360945162356
stationary-gVAR,periodic,80,10,0.5,3,0.1282051282051282,0.42424242424242425,0.19680599512532285,0.5336669580419579,0.011922739339998474
Ledoit-Wolf,periodic,80,10,0.5,3,0.17448680351906162,0.9151515151515149,0.29299754299754305,0.6928311965811965,0.01722473509896003
tv-gVAR,periodic,80,10,0.5,4,0.1610205856677485,0.7803030303030304,0.2667104871130107,0.6376883768211664,0.0243382063696798
stationary-gVAR,periodic,80,10,0.5,4,0.2,0.6787878787878788,0.3088111888111888,0.6706682206682206,0.011764345195622678
Ledoit-Wolf,periodic,80,10,0.5,4,0.1846590909090909,1.0,0.3116513642829432,0.6470901320901319,0.016239262686809842
tv-gVAR,periodic,160,6,0.3,0,0.5123792873792873,0.5233516483516484,0.5040393142619862,0.6937307861220905,0.00917739497258694
stationary-gVAR,periodic,160,6,0.3,0,0.5818181818181817,0.376082251082251,0.4561347743165926,0.6242471296819123,0.015095263694362732
Ledoit-Wolf,periodic,160,6,0.3,0,0.22377622377622378,0.752164502164502,0.344555177442878,0.4539964866051822,0.027519287200970955
tv-gVAR,periodic,160,6,0.3,1,0.39606846145307684,0.6158424908424908,0.47720101199708154,0.7011168179646441,0.008570097412286677
stationary-gVAR,periodic,160,6,0.3,1,0.7272727272727273,0.376082251082251,0.49504132231404957,0.6564940055552704,0.014805700463733302
Ledoit-Wolf,periodic,160,6,0.3,1,0.29090909090909084,0.752164502164502,0.41902541902541907,0.6447008196020053,0.02725139369970446
tv-gVAR,periodic,160,6,0.3,2,0.4471445221445221,0.4816849816849817,0.4614472717354356,0.6755902611880872,0.007697615249185439
stationary-gVAR,periodic,160,6,0.3,2,0.45454545454545453,0.11742424242424242,0.1863636363636364,0.5989115462929694,0.015028002462334345
Ledoit-Wolf,periodic,160,6,0.3,2,0.275974025974026,1.0,0.4320855614973262,0.584900387271929,0.03466316655012521
tv-gVAR,periodic,160,6,0.3,3,0.5569708069708069,0.5059523809523809,0.5254811672411102,0.7044631093544138,0.0064919312120072575
stationary-gVAR,periodic,160,6,0.3,3,0.9545454545454546,0.2478354978354978,0.39292929292929296,0.6047562724934269,0.014772895089572373
Ledoit-Wolf,periodic,160,6,0.3,3,0.2954545454545454,0.7694805194805195,0.4262774262774263,0.6236233024770574,0.027777607586793384
tv-gVAR,periodic,160,6,0.3,4,0.43496759650605815,0.6208791208791209,0.5080730295564054,0.7029080520928347,0.01002239061988058
stationary-gVAR,periodic,160,6,0.3,4,0.33333333333333337,0.1304112554112554,0.18714416896235078,0.5463949204067782,0.016167138394965072
Ledoit-Wolf,periodic,160,6,0.3,4,0.32196969696969696,1.0,0.48651026392961877,0.6357098654529484,0.03613558955997518
tv-gVAR,periodic,160,6,0.5,0,0.32893115656273547,0.6657509157509158,0.43675563355197217,0.6716464393094829,0.01114814019554872
stationary-gVAR,periodic,160,6,0.5,0,0.32323232323232326,0.376082251082251,0.34710338680926917,0.584894683708913,0.017300621529485628
Ledoit-Wolf,periodic,160,6,0.5,0,0.22377622377622378,0.752164502164502,0.344555177442878,0.4539964866051822,0.027535568857415208
tv-gVAR,periodic,160,6,0.5,1,0.3173101021785233,0.7760989010989012,0.448850196860807,0.6955956181499661,0.013012818807302234
stationary-gVAR,periodic,160,6,0.5,1,0.38787878787878793,0.7543290043290043,0.5114898276953612,0.7169000849830889,0.017193860893629957
Ledoit-Wolf,periodic,160,6,0.5,1,0.29090909090909084,0.752164502164502,0.41902541902541907,0.6447008196020053,0.027266391016569233
tv-gVAR,periodic,160,6,0.5,2,0.33132538025071967,0.6176739926739927,0.429551630086747,0.6558628569498135,0.01062183487373877
stationary-gVAR,periodic,160,6,0.5,2,0.36363636363636365,0.3782467532467532,0.37002164502164503,0.5953625042063776,0.016061357437975415
Ledoit-Wolf,periodic,160,6,0.5,2,0.275974025974026,1.0,0.4320855614973262,0.5644438455703278,0.03468708830864197
tv-gVAR,periodic,160,6,0.5,3,0.3515727296835894,0.6387362637362638,0.45121457489878547,0.7065574823726997,0.009437178534372575
stationary-gVAR,periodic,160,6,0.5,3,0.38181818181818183,0.2478354978354978,0.29995761813943633,0.7106889048588653,0.015587280353750841
Ledoit-Wolf,periodic,160,6,0.5,3,0.2954545454545454,0.7694805194805195,0.4262774262774263,0.6177785762765999,0.027794579588000235
tv-gVAR,periodic,160,6,0.5,4,0.3144934915445751,0.7133699633699633,0.43474003300782216,0.6844785649133477,0.014399902505498975
stationary-gVAR,periodic,160,6,0.5,4,0.16666666666666669,0.1304112554112554,0.146020646020646,0.4566144220294417,0.01880115676345354
Ledoit-Wolf,periodic,160,6,0.5,4,0.32196969696969696,1.0,0.48651026392961877,0.6327875023527197,0.03616263249104699
tv-gVAR,periodic,160,10,0.3,0,0.28335420061172567,0.5885780885780887,0.380589224668172,0.7295224594457799,0.005734822027104425
stationary-gVAR,periodic,160,10,0.3,0,0.33333333333333337,0.17107438016528928,0.22593582887700536,0.6949818737074203,0.005479812413372049
Ledoit-Wolf,periodic,160,10,0.3,0,0.10606060606060605,0.5987603305785124,0.18012848395623515,0.5523041917806014,0.017551083037284365
tv-gVAR,periodic,160,10,0.3,1,0.2530034687225322,0.5362470862470862,0.34332994525004534,0.6797985836380431,0.006160748349568564
stationary-gVAR,periodic,160,10,0.3,1,0.33333333333333337,0.25661157024793385,0.28974709501025286,0.6473948685089365,0.00547103822727561
Ledoit-Wolf,periodic,160,10,0.3,1,0.18881118881118883,0.8371900826446281,0.30800225759903177,0.7463895181343397,0.015323216181662741
tv-gVAR,periodic,160,10,0.3,2,0.22086784605293158,0.3902097902097902,0.2784664434579142,0.6174429198546775,0.00550515481474337
stationary-gVAR,periodic,160,10,0.3,2,0.5,0.08553719008264464,0.146020646020646,0.5145052789557969,0.005396391945124452
